"target_eB","target_eB_label","achieved_eB","n","scenario","method","reps","valid_reps","selected_q","common_q","decision_q","noise_q","TPR","FPR","Precision","F1","ARI","MSE_mu","MSE_kappa","MSE_eta","zero_support_refit_reps","completed_cell"
"0.10","10.0%","0.1124","1000","OBE5_equal_kappa","E-L","100","100","198.34","3.98","16","178.36","1","0.990978260869565","0.0806695573258042","0.149295511803676","0.653978544295284","0.000515347596891542","7.76530359920552","0.888693836029513","0","True"
"0.10","10.0%","0.1052","1000","OBE5_heterogeneous_kappa","D-AGL","100","100","25.54","4","16","5.54","1","0.0518478260869565","0.62646828504307","0.770341839191141","0.734979210409127","0.000105525105852038","2.18950994942791","0.135895103096716","0","True"
"0.10","10.0%","0.1052","1000","OBE5_heterogeneous_kappa","D-GL","100","100","23.78","4","16","3.78","1","0.0422826086956522","0.672834314550042","0.804424333836099","0.737749601892979","9.68369533134562e-05","4.11029996492421","0.133681167074296","0","True"
"0.10","10.0%","0.1052","1000","OBE5_heterogeneous_kappa","D-L","100","100","199.95","4","16","179.95","1","0.999728260869565","0.0800200050012503","0.148182449641121","0.662019933781231","0.000710400609807219","16.0520896716595","1.03636713925696","0","True"
"0.10","10.0%","0.1052","1000","OBE5_heterogeneous_kappa","E-AGL","100","100","18.94","0.09","16","2.84999999999999","1","0.0159782608695652","0.844772967265047","0.915855752718947","0.741008056471462","0.00305874881499847","153.025590166846","0.0934237805156614","0","True"
"0.10","10.0%","0.1052","1000","OBE5_heterogeneous_kappa","E-GL","100","100","20.58","0.07","16","4.51000000000001","1","0.0248913043478261","0.777453838678329","0.874794969928923","0.739462668771168","0.00309999943816904","149.31875825834","0.120600591645594","0","True"
"0.10","10.0%","0.1052","1000","OBE5_heterogeneous_kappa","E-L","100","100","199.23","3.97","16","179.26","1","0.995815217391304","0.0803091903829744","0.148678158249315","0.661691383397733","0.000736412420248354","16.0973781979263","1.04180080035219","0","True"
"0.10","10.0%","0.1124","300","OBE5_equal_kappa","D-AGL","100","100","53.14","4","15.94","33.1999999999999","0.99625","0.202173913043478","0.299962363567934","0.461093433612959","0.633448255227602","0.00070263868158181","79.3957611684922","1.64396879604681","0","True"
"0.10","10.0%","0.1124","300","OBE5_equal_kappa","D-GL","100","100","31.43","4","15.94","11.49","0.99625","0.0841847826086956","0.507158765510659","0.672148429264179","0.679740944277451","0.000399590500324502","215.414854276314","1.69472504337289","0","True"
"0.10","10.0%","0.1124","300","OBE5_equal_kappa","D-L","100","100","199.57","4","16","179.57","1","0.997663043478261","0.0801723705967831","0.148443660991789","0.432888048253668","0.0019213809414257","99.3972315502481","4.34367242268014","0","True"
"0.10","10.0%","0.1124","300","OBE5_equal_kappa","E-AGL","100","98","16.92","0.02","15.55","1.35","0.971875","0.00744565217391304","0.91903073286052","0.944714459295261","0.702911403876925","0.00361246392839801","215.862171284283","0.354875207964674","2","True"
"0.10","10.0%","0.1124","300","OBE5_equal_kappa","E-GL","100","100","17.53","0.05","16","1.48","1","0.00831521739130435","0.912721049629207","0.954369221592604","0.705687870947488","0.00354967656294524","208.255072069719","0.314260397995212","0","True"
"0.10","10.0%","0.1124","300","OBE5_equal_kappa","E-L","100","100","198.12","3.97","16","178.15","1","0.989782608695652","0.0807591358772461","0.149448907154866","0.422720726721291","0.00200606627812866","100.012707660309","4.51219706561554","0","True"
"0.10","10.0%","0.1052","300","OBE5_heterogeneous_kappa","D-AGL","100","100","70.03","4","15.96","50.0700000000001","0.9975","0.293858695652174","0.227902327573897","0.371033360455655","0.588956788842674","0.00155097738405701","665.859615469877","5.27447951832487","0","True"
"0.10","10.0%","0.1052","300","OBE5_heterogeneous_kappa","D-GL","100","100","37.67","4","15.8","17.87","0.9875","0.118858695652174","0.419431908680648","0.588783305384759","0.629023323629456","0.00113936903731953","1962.09400195615","10.1820621596118","0","True"
"0.10","10.0%","0.1052","300","OBE5_heterogeneous_kappa","D-L","100","100","199.62","4","16","179.62","1","0.997934782608696","0.0801522893497646","0.148409238475095","0.523850793838816","0.00224047969076897","164.979329045639","4.4933237115764","0","True"
"0.10","10.0%","0.1052","300","OBE5_heterogeneous_kappa","E-AGL","100","100","19.49","0.09","14.92","4.48","0.9325","0.0248369565217391","0.765520779887122","0.84080022541561","0.683212281126133","0.00356262537864571","140.084312579435","0.780492354731562","0","True"
"0.10","10.0%","0.1052","300","OBE5_heterogeneous_kappa","E-GL","100","100","21.75","0.14","15.57","6.04000000000001","0.973125","0.0335869565217391","0.715862068965517","0.824900662251656","0.690089400442654","0.00348042236376484","120.279464645169","0.77933372940617","0","True"
"0.10","10.0%","0.1052","300","OBE5_heterogeneous_kappa","E-L","100","100","198.38","3.95","16","178.43","1","0.991195652173913","0.080653291662466","0.149267655564885","0.522019801299069","0.00231239763356812","162.730099774956","4.56505058545101","0","True"
