"target_eB","n","kappa_pattern","method","reps","successful_reps","computational_failure_reps","zero_support_reps","selected_q_valid_n","selected_q_mean","selected_q_sd","selected_q_mcse","common_q_selected_valid_n","common_q_selected_mean","common_q_selected_sd","common_q_selected_mcse","decision_q_selected_valid_n","decision_q_selected_mean","decision_q_selected_sd","decision_q_selected_mcse","noise_q_selected_valid_n","noise_q_selected_mean","noise_q_selected_sd","noise_q_selected_mcse","TPR_valid_n","TPR_mean","TPR_sd","TPR_mcse","FPR_valid_n","FPR_mean","FPR_sd","FPR_mcse","Precision_valid_n","Precision_mean","Precision_sd","Precision_mcse","F1_all_valid_n","F1_all_mean","F1_all_sd","F1_all_mcse","ARI_all_valid_n","ARI_all_mean","ARI_all_sd","ARI_all_mcse","MSE_mu_valid_n","MSE_mu_mean","MSE_mu_sd","MSE_mu_mcse","MSE_kappa_valid_n","MSE_kappa_mean","MSE_kappa_sd","MSE_kappa_mcse","MSE_centered_eta_valid_n","MSE_centered_eta_mean","MSE_centered_eta_sd","MSE_centered_eta_mcse","loglik_valid_n","loglik_mean","loglik_sd","loglik_mcse","test_NLL_valid_n","test_NLL_mean","test_NLL_sd","test_NLL_mcse"
0.1,1000,"equal","E-ACGL",100,100,0,0,100,16.04,0.196946385566932,0.0196946385566932,100,0,0,0,100,16,0,0,100,0.04,0.196946385566932,0.0196946385566932,100,1,0,0,100,0.000217391304347826,0.00107036079112463,0.000107036079112463,100,0.997647058823529,0.0115850815039373,0.00115850815039373,100,0.998787878787879,0.00596807228990699,0.000596807228990699,100,0.743377060263596,0.0203626686788669,0.00203626686788669,100,0.000132106499371805,1.13178068206291e-05,1.13178068206291e-06,100,1.29674151132185,1.06615112515554,0.106615112515554,100,0.064712938782375,0.0133347991731032,0.00133347991731032,100,247700.484372605,102.242849194699,10.2242849194699,100,-247.44918143029,0.0612010293536744,0.00612010293536744
0.1,1000,"heterogeneous","D-L",100,100,0,0,100,199.93,0.256432399976243,0.0256432399976243,100,4,0,0,100,16,0,0,100,179.93,0.256432399976243,0.0256432399976243,100,1,0,0,100,0.999619565217391,0.00139365434769706,0.000139365434769706,100,0.0800281407035176,0.00010308840200051,1.0308840200051e-05,100,0.14819638242894,0.000176697605496263,1.76697605496263e-05,100,0.676023383616453,0.0283780292587238,0.00283780292587238,100,0.000682501941475324,9.50392503367553e-05,9.50392503367553e-06,100,12.5520068646138,11.0766149129333,1.10766149129333,100,0.977295292380526,0.148085289229265,0.0148085289229265,100,248160.454810006,126.363224075541,12.6363224075541,0,NA,NA,NA
0.1,1000,"heterogeneous","D-GL",100,100,0,0,100,23.07,12.6660725538501,1.26660725538501,100,4,0,0,100,16,0,0,100,3.07,12.6660725538501,1.26660725538501,100,1,0,0,100,0.0384239130434783,0.0688373508361417,0.00688373508361417,100,0.753918057798169,0.123287105833549,0.0123287105833549,100,0.852132630816995,0.109396823890707,0.0109396823890707,100,0.746998310270246,0.0268663089569904,0.00268663089569904,100,8.55262535610168e-05,7.42010062456069e-05,7.42010062456069e-06,100,1.74904551810446,1.53433592484117,0.153433592484117,100,0.108240479643559,0.0974066558603917,0.00974066558603917,100,247794.167262092,134.977182703254,13.4977182703254,0,NA,NA,NA
0.1,1000,"heterogeneous","D-AGL",100,100,0,0,100,23.44,12.8041344332937,1.28041344332937,100,4,0,0,100,16,0,0,100,3.44,12.8041344332937,1.28041344332937,100,1,0,0,100,0.0404347826086956,0.069587687137466,0.0069587687137466,100,0.754121947359877,0.139037605694282,0.0139037605694282,100,0.850133475125462,0.123992485172838,0.0123992485172838,100,0.74591029395195,0.0270458942805102,0.00270458942805102,100,8.90174014794994e-05,8.5260971789209e-05,8.5260971789209e-06,100,1.77519947675105,1.50464514595858,0.150464514595858,100,0.113981399814106,0.107768744308967,0.0107768744308967,100,247794.304629523,130.022013139625,13.0022013139625,0,NA,NA,NA
0.1,1000,"heterogeneous","E-L",100,100,0,0,100,199.27,1.00357945234631,0.100357945234631,100,3.99,0.1,0.01,100,16,0,0,100,179.28,0.97524925588852,0.097524925588852,100,1,0,0,100,0.996032608695652,0.00545423615405603,0.000545423615405603,100,0.0802950984345353,0.000406897420401001,4.06897420401001e-05,100,0.148653748714552,0.000696993583292333,6.96993583292333e-05,100,0.671887195829403,0.0289974223990666,0.00289974223990666,100,0.00069936690967669,0.000100250480086664,1.00250480086664e-05,100,13.3871310076129,12.131528636601,1.2131528636601,100,0.998239633219814,0.154469033740347,0.0154469033740347,100,248160.595531453,126.335488878973,12.6335488878973,0,NA,NA,NA
0.1,1000,"heterogeneous","E-CGL",100,100,0,0,100,17.98,7.59715523579502,0.759715523579502,100,0.06,0.277797979063414,0.0277797979063414,100,16,0,0,100,1.92,7.38505178715694,0.738505178715694,100,1,0,0,100,0.0107608695652174,0.0412888871510599,0.00412888871510599,100,0.950876863752352,0.150268482623661,0.0150268482623661,100,0.966296370669715,0.112269762064475,0.0112269762064475,100,0.751248020175347,0.0244784732678005,0.00244784732678005,100,0.00017680495998542,4.46067118143664e-05,4.46067118143664e-06,100,1.4014124335894,1.02684602626332,0.102684602626332,100,0.0843623033814226,0.069163195134493,0.0069163195134493,100,247873.685124111,129.663610030826,12.9663610030826,100,-247.627390708702,0.0774911521135519,0.00774911521135519
0.1,1000,"heterogeneous","E-ACGL",100,100,0,0,100,16.32,1.04330477257839,0.104330477257839,100,0.02,0.14070529413629,0.014070529413629,100,16,0,0,100,0.3,1.02985730108887,0.102985730108887,100,1,0,0,100,0.00173913043478261,0.00567013463357822,0.000567013463357822,100,0.983390167661267,0.0477128983542871,0.00477128983542871,100,0.990973536267654,0.0274204407258875,0.00274204407258875,100,0.752423095792466,0.024611883594928,0.0024611883594928,100,0.000168055224833952,1.72118965928305e-05,1.72118965928305e-06,100,1.33116169933007,0.959134212204077,0.0959134212204077,100,0.0696030522031545,0.0208313181810428,0.00208313181810428,100,247868.219202746,124.680597917961,12.4680597917961,100,-247.632699402001,0.0756371898521139,0.00756371898521139
